Azure.Identity.AzureApplicationCredentialOptions::GetNonEmptyStringOrNull(System.String)System.String	input	0
Azure.Identity.AzureApplicationCredentialOptions::GetNonEmptyStringOrNull(System.String)System.String	output	-1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'g' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'g' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , ''' , '<' , '>' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'g' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.LinkExtensions::RouteLink(System.Web.Mvc.HtmlHelper,System.String,System.String,System.String,System.String,System.String,System.Object,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , ''' , '<' , '>' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::DropDownList(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable<System.Web.Mvc.SelectListItem>,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.SelectExtensions::ListBox(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IEnumerable`1<System.Web.Mvc.SelectListItem>,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.Object)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_escaped	{ '"' , '&' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Int32,System.Int32,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	input	1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Int32,System.Int32,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	output	-1
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Int32,System.Int32,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	unescaper	HTML_ENTITY
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Int32,System.Int32,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_never_in_output	{ '"' , '<' }
System.Web.Mvc.Html.TextAreaExtensions::TextArea(System.Web.Mvc.HtmlHelper,System.String,System.String,System.Int32,System.Int32,System.Collections.Generic.IDictionary`2<System.String,System.Object>)System.Web.Mvc.MvcHtmlString	action1	chars_introduced	{ '#' , '&' , '3' , '9' , ';' , 'a' , 'l' , 'm' , 'o' , 'p' , 'q' , 't' , 'u' }
